,Entropy Values
0,0.16209422086320718
1,0.16209422086320718
2,0.16209422086320718
3,0.16209422086320718
4,0.12829836297201186
5,0.09448423313368225
6,0.09448423313368225
7,0.060651896605450464
8,0.12123122516282459
9,0.060651896605450464
10,0.09448423313368223
11,0.09448423313368223
12,0.09448423313368223
13,0.09448423313368223
14,0.12829836297201186
15,0.12829836297201186
16,0.2759922552861344
17,0.3096770844417083
18,0.24935589040958106
19,0.24935589040958106
20,0.2156337823455467
21,0.2156337823455467
22,0.2830593930953217
23,0.2830593930953217
24,0.24935589040958106
25,0.24935589040958106
26,0.10155137094286952
27,0.10155137094286952
28,0.3044048321609282
29,0.43142823106250394
30,0.44743291308717115
31,0.44743291308717115
32,0.3802711632660879
33,0.3802711632660879
34,0.3802711632660879
35,0.3802711632660879
36,0.3802711632660879
37,0.3802711632660879
38,0.22941517644409837
39,0.10155137094286952
40,0.06771903441463775
41,0.06771903441463775
42,0.06771903441463775
43,0.10155137094286952
44,0.10155137094286952
45,0.10155137094286952
46,0.10155137094286952
47,0.10155137094286952
48,0.06771903441463775
49,0.10155137094286952
50,0.10155137094286952
51,0.10155137094286952
52,0.10155137094286952
53,0.10155137094286952
54,0.16209422086320718
55,0.19587174108055666
56,0.19587174108055666
57,0.16209422086320718
58,0.16209422086320718
59,0.12829836297201186
60,0.12829836297201186
61,0.16209422086320718
62,0.16209422086320718
63,0.12829836297201186
64,0.06771903441463775
65,0.03386855598926829
66,0.03386855598926829
67,0.03386855598926829
68,0.03386855598926829
69,0.03386855598926829
70,0.03386855598926829
71,-0.0
72,-0.0
73,-0.0
74,-0.0
75,-0.0
76,-0.0
77,-0.0
78,-0.0
79,-0.0
80,0.03386855598926829
81,0.03386855598926829
82,0.03386855598926829
83,0.03386855598926829
84,0.03386855598926829
85,0.03386855598926829
86,0.03386855598926829
87,0.03386855598926829
88,0.03386855598926829
89,0.03386855598926829
90,0.08474964832038377
91,0.08474964832038377
92,0.1185637781587134
93,0.1185637781587134
94,0.1523596360499087
95,0.3974257674083966
96,0.3974257674083966
97,0.3974257674083966
98,0.3974257674083966
99,0.3974257674083966
100,0.31334237637640805
101,0.31334237637640805
102,0.2796762894039943
103,0.2796762894039943
104,0.24599146024842047
105,-0.0
106,-0.0
107,-0.0
108,-0.0
109,-0.0
110,-0.0
111,-0.0
112,-0.0
113,0.06771903441463775
114,0.06771903441463775
115,0.06771903441463775
116,0.12829836297201186
117,0.12829836297201186
118,0.12829836297201186
119,0.12829836297201186
120,0.12829836297201186
121,0.12829836297201186
122,0.12829836297201186
123,0.060651896605450464
124,0.060651896605450464
125,0.060651896605450464
126,0.03386855598926829
127,0.03386855598926829
128,0.03386855598926829
129,0.03386855598926829
130,0.03386855598926829
131,0.03386855598926829
132,0.03386855598926829
133,0.03386855598926829
134,0.03386855598926829
135,0.03386855598926829
136,-0.0
137,-0.0
138,-0.0
139,-0.0
140,-0.0
141,-0.0
142,-0.0
143,-0.0
144,-0.0
145,-0.0
146,-0.0
147,-0.0
148,-0.0
149,0.03386855598926829
150,0.03386855598926829
151,0.03386855598926829
152,0.03386855598926829
153,0.03386855598926829
154,0.03386855598926829
155,0.03386855598926829
156,0.03386855598926829
157,0.03386855598926829
158,0.06771903441463775
159,0.03386855598926829
160,0.03386855598926829
161,0.03386855598926829
162,0.03386855598926829
163,0.03386855598926829
164,0.03386855598926829
165,0.03386855598926829
166,0.03386855598926829
167,0.03386855598926829
168,-0.0
169,-0.0
170,0.060651896605450464
171,0.060651896605450464
172,0.060651896605450464
173,0.060651896605450464
174,0.060651896605450464
175,0.060651896605450464
176,0.060651896605450464
177,0.060651896605450464
178,1.017020388576205
179,1.017020388576205
180,0.9566832165948257
181,0.9566832165948257
182,0.9566832165948257
183,0.9566832165948257
184,0.9566832165948257
185,0.9566832165948257
186,0.9566832165948257
187,0.9566832165948257
188,-0.0
189,0.09448423313368223
190,0.09448423313368223
191,0.09448423313368223
192,0.09448423313368223
193,0.09448423313368223
194,0.09448423313368223
195,0.09448423313368223
196,0.09448423313368223
197,0.09448423313368223
198,0.09448423313368223
199,-0.0
200,0.03386855598926829
201,0.03386855598926829
202,0.03386855598926829
203,0.03386855598926829
204,0.03386855598926829
205,0.03386855598926829
206,0.03386855598926829
207,0.03386855598926829
208,0.03386855598926829
209,0.03386855598926829
210,-0.0
211,-0.0
212,-0.0
213,-0.0
214,-0.0
215,-0.0
216,-0.0
217,-0.0
218,-0.0
219,-0.0
220,-0.0
221,-0.0
222,-0.0
223,-0.0
224,-0.0
225,-0.0
226,-0.0
227,-0.0
228,-0.0
229,0.10709694954445004
230,0.10709694954445004
231,0.14089280743564536
232,0.14089280743564536
233,0.17467032765299484
234,0.17467032765299484
235,0.17467032765299484
236,0.20842944399522267
237,0.20842944399522267
238,0.20842944399522267
239,0.10155137094286952
240,0.10155137094286952
241,0.06771903441463775
242,0.06771903441463775
243,0.03386855598926829
244,0.03386855598926829
245,0.03386855598926829
246,-0.0
247,-0.0
248,0.060651896605450464
249,0.060651896605450464
250,0.060651896605450464
251,0.060651896605450464
252,0.060651896605450464
253,0.060651896605450464
254,0.060651896605450464
255,0.060651896605450464
256,0.060651896605450464
257,0.060651896605450464
258,0.03386855598926829
259,0.03386855598926829
260,0.03386855598926829
261,0.03386855598926829
262,0.03386855598926829
263,0.03386855598926829
264,0.03386855598926829
265,0.03386855598926829
266,0.03386855598926829
267,0.03386855598926829
268,-0.0
269,-0.0
270,-0.0
271,-0.0
272,-0.0
273,-0.0
274,-0.0
275,-0.0
276,-0.0
277,-0.0
278,-0.0
279,-0.0
280,-0.0
281,-0.0
282,-0.0
283,-0.0
284,-0.0
285,-0.0
286,-0.0
287,-0.0
288,-0.0
289,-0.0
290,-0.0
291,-0.0
292,-0.0
293,-0.0
294,-0.0
295,-0.0
296,-0.0
297,-0.0
298,-0.0
299,-0.0
300,-0.0
301,-0.0
302,-0.0
303,-0.0
304,-0.0
305,-0.0
306,-0.0
307,-0.0
308,-0.0
309,-0.0
310,-0.0
311,-0.0
312,-0.0
313,-0.0
314,-0.0
315,-0.0
316,-0.0
317,0.03386855598926829
318,0.03386855598926829
319,0.03386855598926829
320,0.09448423313368225
321,0.09448423313368225
322,0.09448423313368225
323,0.2013623061860354
324,0.2013623061860354
325,0.2013623061860354
326,0.2013623061860354
327,0.16760318984380757
328,0.16760318984380757
329,0.16760318984380757
330,0.10709694954445004
331,0.10709694954445004
332,0.10709694954445004
333,-0.0
334,-0.0
335,0.03386855598926829
336,0.03386855598926829
